Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,09:00,19.9,0.3,1.3,1015.8,19.1,70.0,0.0,0.0,95.2,Parcialmente Nublado
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,10:00,21.2,0.4,303.6,1015.7,20.0,70.0,0.0,0.0,93.1,Parcialmente Nublado
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,11:00,22.0,0.7,283.6,1015.1,20.6,70.0,0.0,0.0,91.8,Parcialmente Nublado
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,12:00,22.6,0.9,270.0,1014.0,20.5,70.0,0.8,0.0,87.9,Parcialmente Nublado - Lluvia Fuerte
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,13:00,23.0,0.8,290.2,1012.3,19.2,70.0,1.5,0.0,79.1,Parcialmente Nublado - Lluvia Fuerte
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,14:00,22.8,0.3,326.4,1010.6,17.5,70.0,2.5,60.0,72.1,Parcialmente Nublado - Tormenta
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,15:00,22.0,0.7,96.6,1009.7,16.2,70.0,1.8,20.0,69.4,Parcialmente Nublado - Lluvia Fuerte
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,16:00,21.2,0.9,42.5,1008.9,18.9,74.0,1.7,0.0,86.6,Parcialmente Nublado - Lluvia Fuerte
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,17:00,20.9,0.9,53.6,1009.5,19.5,76.2,1.7,0.0,91.6,Nublado - Lluvia
05001000,6.248586,-75.576002,,ANTIOQUIA,2022-03-30,18:00,20.0,0.8,37.3,1010.7,19.0,80.0,2.0,0.0,93.7,Nublado - Lluvia
