,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
35256,COL,South America,Colombia,2022-01-01,5169855.0,12415.0,6883.857,129986.0,44.0,36.714,100844.049,242.169,134.278,2535.528,0.858,0.716,2.13,,,,,,,,,29641342.0,77189.0,578.189,1.506,63390.0,1.236,0.15,6.7,tests performed,,,,,,140628.0,,,,,2743.0,31931.0,0.062,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
35257,COL,South America,Colombia,2022-01-02,5181173.0,11318.0,8069.0,130026.0,40.0,37.857,101064.82,220.771,157.395,2536.309,0.78,0.738,2.04,,,,,,,,,29705607.0,64265.0,579.442,1.254,64301.0,1.254,0.167,6.0,tests performed,64738522.0,38363095.0,28346885.0,3342734.0,,140688.0,126.28,74.83,55.29,6.52,2744.0,31788.0,0.062,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,163408.1,32.49,13.88,3187.465509
35258,COL,South America,Colombia,2022-01-03,5191021.0,9848.0,9007.143,130061.0,35.0,37.571,101256.917,192.097,175.695,2536.991,0.683,0.733,1.98,,,,,,,,,29754578.0,48971.0,580.398,0.955,65796.0,1.283,0.179,5.6,tests performed,64986015.0,38420325.0,28463323.0,3429374.0,247493.0,141930.0,126.76,74.94,55.52,6.69,2769.0,32312.0,0.063,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
35259,COL,South America,Colombia,2022-01-04,5203374.0,12353.0,10156.714,130100.0,39.0,38.143,101497.877,240.96,198.119,2537.752,0.761,0.744,2.0,,,,,,,,,29831221.0,76643.0,581.893,1.495,68488.0,1.336,0.197,5.1,tests performed,65271100.0,38488522.0,28600589.0,3522444.0,285085.0,150045.0,127.32,75.08,55.79,6.87,2927.0,34788.0,0.068,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
35260,COL,South America,Colombia,2022-01-05,5219633.0,16259.0,11575.714,130140.0,40.0,39.143,101815.027,317.151,225.798,2538.532,0.78,0.764,2.05,,,,,,,,,29922299.0,91078.0,583.669,1.777,71531.0,1.395,0.221,4.5,tests performed,65563271.0,38563154.0,28741288.0,3612619.0,292171.0,159173.0,127.89,75.22,56.06,7.05,3105.0,38183.0,0.074,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
35261,COL,South America,Colombia,2022-01-06,5242672.0,23039.0,13661.857,130191.0,51.0,41.429,102264.43,449.403,266.49,2539.527,0.995,0.808,2.09,,,,,,,,,30018801.0,96502.0,585.552,1.882,73047.0,1.425,0.252,4.0,tests performed,65895507.0,38650089.0,28903827.0,3710208.0,332236.0,180122.0,128.54,75.39,56.38,7.24,3513.0,44190.0,0.086,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
35262,COL,South America,Colombia,2022-01-07,5268862.0,26190.0,15917.429,130250.0,59.0,44.0,102775.296,510.866,310.488,2540.678,1.151,0.858,2.07,,,,,,,,,30140981.0,122180.0,587.935,2.383,82404.0,1.607,0.277,3.6,tests performed,,,,,,210129.0,,,,,4099.0,52439.0,0.102,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
35263,COL,South America,Colombia,2022-01-08,5300032.0,31170.0,18596.714,130288.0,38.0,43.143,103383.304,608.007,362.751,2541.419,0.741,0.842,2.0,,,,,,,,,30213446.0,72465.0,589.348,1.414,81729.0,1.594,0.299,3.3,tests performed,66427277.0,38790254.0,29160533.0,3872825.0,,244682.0,129.57,75.66,56.88,7.55,4773.0,61737.0,0.12,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
35264,COL,South America,Colombia,2022-01-09,5330662.0,30630.0,21355.571,130338.0,50.0,44.571,103980.777,597.474,416.565,2542.395,0.975,0.869,1.88,,,,,,,,,30318757.0,105311.0,591.403,2.054,87593.0,1.709,0.318,3.1,tests performed,66546267.0,38818655.0,29217362.0,3912713.0,118990.0,258249.0,129.81,75.72,56.99,7.63,5037.0,65080.0,0.127,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,164420.8,32.35,18.97,3207.219404
35265,COL,South America,Colombia,2022-01-10,5357767.0,27105.0,23820.857,130395.0,57.0,47.714,104509.492,528.715,464.654,2543.507,1.112,0.931,1.74,,,,,,,,,30415061.0,96304.0,593.281,1.879,94355.0,1.841,0.327,3.1,tests performed,66646518.0,38843101.0,29265389.0,3945749.0,100251.0,237215.0,130.0,75.77,57.09,7.7,4627.0,60397.0,0.118,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
