Province/State,Country/Region,Lat,Long,1/22/20,2/21/20,3/22/20,4/21/20,5/21/20,6/20/20,7/20/20,8/19/20
,Afghanistan,33.93911,67.709953,0,0,40,1092,8676,28424,35526,37599
,Albania,41.1533,20.1683,0,0,89,609,969,1891,4171,7812
,Algeria,28.0339,1.6596,0,0,201,2811,7728,11631,23691,39847
,Andorra,42.5063,1.5218,0,0,113,717,762,855,884,1024
,Angola,-11.2027,17.8739,0,0,2,24,58,176,749,2015
,Antigua and Barbuda,17.0608,-61.7964,0,0,1,23,25,26,76,94
,Argentina,-38.4161,-63.6167,0,0,266,3031,9931,41204,130774,312659
,Armenia,40.0691,45.0382,0,0,194,1401,5606,19708,34981,42056
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,19,104,107,108,113,113
New South Wales,Australia,-33.8688,151.2093,0,4,669,2969,3084,3149,3599,3971
Northern Territory,Australia,-12.4634,130.8456,0,0,5,28,29,29,31,33
Queensland,Australia,-27.4698,153.0251,0,5,259,1024,1058,1066,1072,1093
South Australia,Australia,-34.9285,138.6007,0,2,100,437,439,440,444,462
Tasmania,Australia,-42.8821,147.3272,0,0,22,201,228,228,229,230
Victoria,Australia,-37.8136,144.9631,0,4,355,1336,1593,1836,6289,17683
Western Australia,Australia,-31.9505,115.8605,0,0,120,546,557,605,651,651
,Austria,47.5162,14.5501,0,0,3582,14873,16404,17323,19743,24084
,Azerbaijan,40.1431,47.5769,0,0,65,1480,3749,12238,27890,34620
,Bahamas,25.025885,-78.035889,0,0,4,65,97,104,174,1531
,Bahrain,26.0275,50.55,0,0,334,1973,8174,21331,36936,47950
,Bangladesh,23.685,90.3563,0,0,27,3382,28511,108775,207453,285091
,Barbados,13.1939,-59.5432,0,0,14,75,90,97,106,155
,Belarus,53.7098,27.9534,0,0,76,6723,33371,57936,66213,69801
,Belgium,50.8333,4.469936,0,1,3401,40956,56235,60550,64094,79479
,Belize,17.1899,-88.4976,0,0,0,18,18,22,40,553
,Benin,9.3077,2.3158,0,0,2,54,135,650,1602,2095
,Bhutan,27.5142,90.4336,0,0,2,6,21,68,90,147
,Bolivia,-16.2902,-63.5887,0,0,24,598,5187,23512,60991,105050
,Bosnia and Herzegovina,43.9159,17.6791,0,0,126,1342,2350,3273,8479,16691
